,Location,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
24,Burundi,0.3345683,0.3338981,0.33361328,0.33354977,0.33317593,0.33318722,0.33329234,0.33392376,0.3344196,0.33479962,0.33446422,0.33428013,0.3329495,0.33156964,0.33079875,0.32971638,0.33011827,0.33117008,0.33144593,0.33145463
25,Cambodia,0.41263407,0.41351357,0.41451088,0.41585264,0.4167584,0.4171439,0.41855332,0.41990718,0.4203816,0.4207397,0.42096877,0.42186767,0.42139935,0.42184308,0.4221691,0.42226243,0.42645428,0.4308661,0.4310942,0.43067652
26,Cameroon,0.39651608,0.40221325,0.4084313,0.41422838,0.41937873,0.42242393,0.4240944,0.42580667,0.42629164,0.42807856,0.42951095,0.4312739,0.43427542,0.43838704,0.44191012,0.44487348,0.4496905,0.45383805,0.45374086,0.45370683
27,Canada,1.8782719,1.89663,1.9179413,1.9424622,1.9684911,1.9947202,2.0406075,2.1145554,2.2004325,2.276427,2.328407,2.360635,2.3881903,2.414432,2.4403033,2.4662344,2.5079608,2.5324626,2.5087106,2.463676
28,Central African Republic,0.36590025,0.36441952,0.3630709,0.36101454,0.35876563,0.35658547,0.35383794,0.35156664,0.3488621,0.34745875,0.3461135,0.3452901,0.3433126,0.34143317,0.3396838,0.3388291,0.3380816,0.33725065,0.3368707,0.33679467
29,Chad,0.2729616,0.2728902,0.27307364,0.2728301,0.27331388,0.2733353,0.27369088,0.274785,0.27538186,0.27624965,0.27647796,0.2777396,0.27821693,0.27969146,0.28093177,0.28168845,0.28343517,0.28604028,0.28689408,0.28669482
30,Chile,0.9860646,0.9921545,1.0000966,1.01062,1.0194155,1.0229684,1.0244491,1.0278802,1.0313985,1.0352695,1.0386351,1.0387436,1.0361873,1.0331297,1.0322957,1.0399861,1.0588785,1.0807512,1.100429,1.1226323
31,China,0.62524,0.6292698,0.64421475,0.6627682,0.6780881,0.68279755,0.6686231,0.6391067,0.6046729,0.5761041,0.5635127,0.56278676,0.56269103,0.5632757,0.56433,0.5657462,0.5986854,0.6342161,0.6392307,0.6417744
32,Colombia,0.82235074,0.82671,0.83345616,0.83918166,0.8444261,0.847893,0.8490168,0.851258,0.85234237,0.85278535,0.8531036,0.85160345,0.8485929,0.84432876,0.8412486,0.8384399,0.8485868,0.8663409,0.871394,0.8702485
33,Comoros,0.32268035,0.32409075,0.32515734,0.32604074,0.32788673,0.3296041,0.33026388,0.33162522,0.33236867,0.33301523,0.33378258,0.33395672,0.33436865,0.33425796,0.3344026,0.33524752,0.33641133,0.3367946,0.33729646,0.33740005
34,Congo,0.41320163,0.41130206,0.4095741,0.40808743,0.40623227,0.40392765,0.40101615,0.39781788,0.39528453,0.3923792,0.3923416,0.39302972,0.3951161,0.39648464,0.39828423,0.40002942,0.39852408,0.39665437,0.3970523,0.39771706
35,Costa Rica,0.5558608,0.5597011,0.56813365,0.5792679,0.5873505,0.59300584,0.5948365,0.59680444,0.5979928,0.5981513,0.59860575,0.5962291,0.59203637,0.587375,0.58372486,0.5827627,0.586254,0.5892973,0.5885879,0.5848473
36,Croatia,0.82161534,0.8289615,0.8393719,0.851569,0.8610348,0.8665523,0.86925924,0.87108374,0.87343115,0.875547,0.87718654,0.87911403,0.8806188,0.8818891,0.8830906,0.88275903,0.85055554,0.81780666,0.8089857,0.79208857
37,Cuba,0.81027144,0.8060156,0.8005943,0.79474247,0.7887654,0.78378284,0.77956873,0.77470887,0.7710217,0.7676298,0.7647199,0.76265866,0.761437,0.7589725,0.7579732,0.7585153,0.76182014,0.7656268,0.7662752,0.7670322
38,Cyprus,0.5536836,0.55871904,0.5634545,0.5684583,0.57184815,0.57390034,0.5737492,0.5727502,0.57120603,0.56891197,0.56695706,0.56573486,0.5665966,0.5670343,0.5680617,0.56932896,0.5713928,0.57456166,0.58944315,0.6172286
39,Czechia,1.1188948,1.1223676,1.1286739,1.1361332,1.1426715,1.1500132,1.1587523,1.16784,1.1789926,1.1899887,1.2009163,1.2110415,1.2202787,1.229503,1.2384682,1.2493141,1.2555588,1.2584746,1.2222558,1.1423259
40,Denmark,0.9702669,0.97710305,0.9843522,0.9926301,0.9995828,1.0041373,1.0091559,1.012619,1.0152941,1.0196729,1.0233576,1.0262996,1.0280992,1.0286824,1.0283781,1.0279243,1.0278897,1.0274354,1.0178962,0.996514
41,Djibouti,0.34630787,0.34796312,0.34976625,0.35164192,0.35222223,0.3529518,0.3533657,0.3542954,0.35450193,0.35576442,0.35662225,0.3566953,0.35741022,0.3578771,0.35778317,0.358873,0.36077327,0.36169425,0.36177772,0.3625193
42,Dominican Republic,0.48412699,0.48615044,0.48916224,0.49278486,0.49607718,0.4985926,0.5016084,0.5052241,0.5086641,0.5113254,0.5146935,0.5171855,0.52017844,0.52302355,0.52488744,0.5271624,0.52997226,0.53276306,0.5601133,0.618317
43,Ecuador,0.57810295,0.58328015,0.5912472,0.59884447,0.60705036,0.6121626,0.6151542,0.6179133,0.62099385,0.62314075,0.62413794,0.6233915,0.6210624,0.6173255,0.6136688,0.6108745,0.6123308,0.61377466,0.61319864,0.61225736
44,Egypt,0.27995658,0.2802483,0.28107625,0.28160214,0.28244117,0.2831404,0.2856155,0.28868163,0.2934338,0.29701898,0.29890063,0.30014718,0.29978824,0.29975635,0.30005956,0.30046746,0.31401822,0.32894874,0.3302523,0.33088663
45,El Salvador,0.35454154,0.35466942,0.35455433,0.35430038,0.35444486,0.3542011,0.3550158,0.3565679,0.3580998,0.35956877,0.36050722,0.3613326,0.36218825,0.36248899,0.36373183,0.3646822,0.36770287,0.36981204,0.365865,0.3538202
46,Equatorial Guinea,0.38986456,0.39224264,0.39390147,0.3951465,0.39541432,0.3959051,0.39584547,0.39444503,0.3935749,0.39358345,0.39433467,0.39661643,0.39909598,0.40235895,0.40548703,0.40864637,0.41451663,0.4192064,0.42144415,0.42221048
47,Eritrea,0.3675844,0.3679012,0.36775053,0.36741146,0.36698183,0.36605203,0.36514732,0.36466947,0.36351365,0.36318642,0.36278158,0.36321604,0.3632519,0.36315477,0.36335444,0.36340332,0.36382636,0.36403254,0.36423102,0.36414477
48,Estonia,1.261358,1.2934605,1.3290447,1.3647763,1.3980467,1.4253776,1.4467595,1.4701263,1.4913886,1.5104166,1.5271176,1.5425098,1.557192,1.5709935,1.5821384,1.5869962,1.5778295,1.5651804,1.5619721,1.5648878
49,Eswatini,0.7126786,0.71271044,0.712068,0.7098542,0.70817727,0.70705163,0.7066603,0.7055456,0.70527804,0.7044826,0.7041394,0.7020392,0.69910246,0.6959372,0.69333845,0.6910886,0.68437546,0.67848647,0.67823994,0.6786168
50,Ethiopia,0.34433115,0.34344998,0.34182793,0.33979973,0.3376308,0.3358668,0.33509526,0.33433685,0.33343273,0.33284387,0.33246878,0.33228195,0.3319708,0.33162102,0.33140323,0.3314412,0.33296493,0.33472794,0.33533898,0.33601356
51,Fiji,0.68396497,0.6838246,0.6840689,0.6845862,0.6836427,0.68366057,0.68316257,0.68303394,0.6833009,0.68310755,0.68251115,0.6807872,0.68044484,0.6795556,0.67937773,0.6791658,0.68166345,0.684976,0.685376,0.68499154
52,Finland,0.80764765,0.81814176,0.8351664,0.85585976,0.87507635,0.89198744,0.9064004,0.9203243,0.9341308,0.9483049,0.9616805,0.97605324,0.99256843,1.0086921,1.0242034,1.0374463,1.0636559,1.085769,1.0709924,1.0291659
