,Location,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
24,Burundi,0.07155359,0.0709524,0.07055023,0.07002098,0.0697589,0.06936297,0.06927907,0.06929167,0.06909897,0.06914013,0.06918158,0.069363326,0.06974592,0.07068003,0.07094682,0.071419746,0.0716356,0.07167876,0.07155357,0.071074806
25,Cambodia,0.06146744,0.06189027,0.062565215,0.06374645,0.064917386,0.066129826,0.06707612,0.06867443,0.07009853,0.0713225,0.072473384,0.073688425,0.07478409,0.076260164,0.07739578,0.078898154,0.07996954,0.0817195,0.08276531,0.08394735
26,Cameroon,0.101992704,0.102391556,0.10296137,0.10372772,0.10408546,0.104687944,0.1048038,0.10482302,0.10505517,0.10490823,0.10541422,0.10564394,0.10616123,0.10667735,0.10791998,0.10874959,0.10938865,0.11081621,0.11125524,0.11202099
27,Canada,0.40892968,0.41027126,0.41235426,0.41470206,0.41705838,0.41833037,0.41950834,0.42062035,0.42179033,0.42244872,0.42279756,0.4237151,0.4240799,0.4244085,0.42516187,0.42588902,0.42759335,0.42864105,0.42866212,0.4285759
28,Central African Republic,0.07686433,0.07666351,0.07628129,0.07623667,0.07618329,0.07588284,0.07569113,0.07565627,0.07583336,0.075773105,0.07564132,0.07536266,0.074880645,0.074559644,0.073977076,0.07376093,0.072932385,0.072328925,0.07213631,0.07151896
29,Chad,0.08051217,0.08068806,0.081379496,0.082390934,0.08373678,0.085175104,0.08621973,0.08722633,0.08840244,0.089881234,0.090967014,0.09241714,0.09349808,0.094820574,0.09585466,0.097140834,0.09789515,0.09852846,0.09864158,0.09834646
30,Chile,0.30141717,0.30305284,0.30553615,0.30767432,0.30972603,0.31210187,0.314539,0.3172358,0.320966,0.32451034,0.32794178,0.33186218,0.33612752,0.34066772,0.3447797,0.34853357,0.35351944,0.35693613,0.35781848,0.35876754
31,China,0.07157985,0.07275263,0.07414101,0.07565596,0.07725651,0.07903266,0.080781,0.082856014,0.08495704,0.08724487,0.089560464,0.091838524,0.094158985,0.09661374,0.09926376,0.10212784,0.10640783,0.10991693,0.11168088,0.11261842
32,Colombia,0.18794987,0.1878509,0.1883219,0.18847127,0.1887106,0.18892615,0.19006954,0.19158794,0.19414087,0.19673105,0.19889013,0.20143916,0.20400381,0.2060835,0.20892034,0.21147159,0.21546629,0.2180702,0.2196955,0.22084343
33,Comoros,0.08869263,0.088752024,0.08869865,0.08870796,0.08863883,0.08859647,0.0883232,0.088166974,0.087888815,0.08774298,0.087514564,0.08767133,0.08776494,0.08800881,0.088046744,0.08839582,0.089308165,0.089750804,0.08936825,0.08927621
34,Congo,0.117855206,0.11823805,0.11816631,0.11851586,0.11871962,0.11932528,0.11997359,0.120713405,0.12110428,0.121766545,0.123035766,0.12392339,0.12603115,0.1274951,0.12932003,0.13018452,0.13048899,0.13020673,0.13025643,0.1295494
35,Costa Rica,0.2002018,0.20102765,0.20238507,0.2031232,0.20425075,0.20611617,0.20762102,0.21024936,0.21280669,0.21542951,0.21800438,0.21957816,0.22147845,0.22336955,0.22530004,0.22738065,0.23026788,0.23288204,0.23521076,0.23688456
36,Croatia,0.14276594,0.14375839,0.14580826,0.1482756,0.15090464,0.15303388,0.15474491,0.15692568,0.15840557,0.159574,0.16102728,0.16161147,0.16212529,0.16291143,0.1631587,0.16369322,0.16471277,0.16613436,0.16773048,0.16951698
37,Cuba,0.15941375,0.16000918,0.16087562,0.16253252,0.16439497,0.16600123,0.16793436,0.16966604,0.1717092,0.17407721,0.1757395,0.17751788,0.17940754,0.1815525,0.18362112,0.18521616,0.18761826,0.18975645,0.19066282,0.19164725
38,Cyprus,0.36824697,0.3714389,0.37511322,0.37917638,0.38335,0.38733783,0.3917814,0.39566207,0.4002998,0.40366802,0.4053917,0.40491813,0.40384167,0.40205657,0.40077925,0.4003874,0.40225446,0.40504256,0.4060882,0.40809122
39,Czechia,0.16465355,0.16572388,0.16692717,0.16895504,0.17094596,0.17273147,0.17460564,0.17694618,0.17907904,0.18075189,0.18253829,0.18335788,0.18419947,0.1849567,0.18563886,0.1866661,0.18728484,0.18837492,0.18993388,0.19224705
40,Denmark,0.43336776,0.43697956,0.44035754,0.44345275,0.44691747,0.4491398,0.45140344,0.45322025,0.45507848,0.45670235,0.45769346,0.45879945,0.45912847,0.45965907,0.45973256,0.46083546,0.46320453,0.46608737,0.46809715,0.47125348
41,Djibouti,0.09811793,0.09832054,0.097750224,0.097792804,0.097395726,0.09758531,0.09804036,0.09845372,0.099021256,0.09961931,0.100495994,0.10112772,0.10220531,0.10313315,0.103964254,0.10527936,0.10670146,0.10849839,0.10925604,0.11031634
42,Dominican Republic,0.18587922,0.18711217,0.18828483,0.1900709,0.19151309,0.1931211,0.19506009,0.1972053,0.19951642,0.20186532,0.20408583,0.20628425,0.20789868,0.21039864,0.21320459,0.21582673,0.21968071,0.22426601,0.2269934,0.22997883
43,Ecuador,0.24557702,0.24598892,0.24681246,0.24779083,0.24917918,0.25033808,0.25259858,0.25467345,0.25663987,0.2598128,0.2627543,0.26569536,0.26902258,0.27231848,0.27580678,0.27871346,0.2820718,0.2839488,0.28395268,0.2837155
44,Egypt,0.16845532,0.16993871,0.17113276,0.17227449,0.17370942,0.17541373,0.17688596,0.17931706,0.18099096,0.18341842,0.18514201,0.18682568,0.18861686,0.19059601,0.19202353,0.19393303,0.19560456,0.19755909,0.19832061,0.19892646
45,El Salvador,0.16874944,0.17037204,0.17130834,0.17237742,0.17384973,0.17508735,0.17668656,0.17821002,0.18078253,0.18218513,0.18388425,0.18553731,0.18706386,0.18815538,0.18953082,0.19112939,0.19365184,0.19585647,0.19693491,0.19801193
46,Equatorial Guinea,0.12889516,0.140353,0.15328597,0.1665069,0.17879508,0.18911459,0.19711153,0.20474298,0.21116017,0.21646175,0.22007354,0.22239046,0.22490405,0.2263201,0.22770476,0.2271708,0.22544245,0.221316,0.21704927,0.21130088
